symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,reason
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-10-30 08:00:00+00:00,2014-10-31 08:00:00+00:00,0.25,3.0,guard:probe_in_flight
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-10-31 12:00:00+00:00,2014-11-03 16:00:00+00:00,0.25,3.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-10-31 16:00:00+00:00,2014-11-05 12:00:00+00:00,0.25,3.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-03 04:00:00+00:00,2014-11-06 04:00:00+00:00,0.25,3.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-03 16:00:00+00:00,2014-11-06 08:00:00+00:00,0.25,0.4370795611166007,symbol_cap
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,-1,2014-11-05 12:00:00+00:00,2014-11-05 16:00:00+00:00,0.4,-0.9999999999999722,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-05 16:00:00+00:00,2014-11-06 12:00:00+00:00,0.25,0.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-06 04:00:00+00:00,2014-11-06 08:00:00+00:00,0.25,-1.0000000000000009,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-14 16:00:00+00:00,2014-11-17 04:00:00+00:00,0.25,-1.000000000000006,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-19 08:00:00+00:00,2014-11-20 16:00:00+00:00,0.25,0.7466658368545889,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-19 12:00:00+00:00,2014-11-20 16:00:00+00:00,0.25,0.3649381491529773,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-19 16:00:00+00:00,2014-11-20 16:00:00+00:00,0.25,0.16172229496300566,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-20 00:00:00+00:00,2014-11-20 16:00:00+00:00,0.25,0.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-11-20 08:00:00+00:00,2014-11-20 16:00:00+00:00,0.25,-0.9999999999999964,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-12-03 20:00:00+00:00,2014-12-05 16:00:00+00:00,0.25,3.0,max_positions
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-12-04 08:00:00+00:00,2014-12-04 20:00:00+00:00,0.25,-0.9999999999999916,max_positions
EURUSD,EURUSD_SWING_RETEST,H1_BREAKOUT_RETEST,-1,2014-12-04 12:00:00+00:00,2014-12-04 16:00:00+00:00,0.1,-1.000000000000039,max_positions
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-12-05 16:00:00+00:00,2014-12-08 12:00:00+00:00,0.25,0.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-12-05 20:00:00+00:00,2014-12-08 16:00:00+00:00,0.25,-0.9999999999999903,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-12-22 16:00:00+00:00,2014-12-30 12:00:00+00:00,0.25,0.0,symbol_cap
