symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,trade_id,risk_dollars,guard_reason,guard_multiplier,is_recovery_probe,equity_at_entry,open_risk_before_entry,open_risk_after_entry
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-08-01 20:00:00+00:00,2013-08-02 16:00:00+00:00,0.15,-1.000000000000012,55,7.801209373564401,strong_or_audusd_protected,1.0,False,5200.806249042934,0.0,0.15
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2013-08-08 08:00:00+00:00,2013-08-09 04:00:00+00:00,0.25,-1.0000000000000016,56,12.982512599173424,warmup,1.0,False,5193.00503966937,0.0,0.25
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-08-08 20:00:00+00:00,2013-08-09 20:00:00+00:00,0.25,-1.000000000000026,57,12.982512599173424,strong_or_audusd_protected,1.0,False,5193.00503966937,0.25,0.5
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2013-08-14 16:00:00+00:00,2013-08-15 16:00:00+00:00,0.4,0.0,58,20.668160057884087,strong_or_audusd_protected,1.0,False,5167.040014471022,0.0,0.4
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-08-27 04:00:00+00:00,2013-08-29 04:00:00+00:00,0.25,0.39803716212791934,59,12.917600036177555,strong_or_audusd_protected,1.0,False,5167.040014471022,0.0,0.25
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-09-10 08:00:00+00:00,2013-09-16 04:00:00+00:00,0.15,4.0,60,7.758272548996389,strong_or_audusd_protected,1.0,False,5172.181699330926,0.0,0.15
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-10 12:00:00+00:00,2013-09-12 12:00:00+00:00,0.15,0.0,61,7.758272548996389,strong_or_audusd_protected,1.0,False,5172.181699330926,0.15,0.3
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-09-10 16:00:00+00:00,2013-09-12 00:00:00+00:00,0.25,-0.9999999999999933,62,12.930454248327315,warmup,1.0,False,5172.181699330926,0.3,0.55
EURUSD,EURUSD_SWING_RETEST,H1_BREAKOUT_RETEST,1,2013-09-12 10:00:00+00:00,2013-09-12 11:00:00+00:00,0.1,-0.9999999999999772,63,5.1592512450826,warmup,1.0,False,5159.251245082599,0.3,0.4
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2013-09-13 16:00:00+00:00,2013-09-19 00:00:00+00:00,0.5,3.0,64,25.77045996918758,strong_or_audusd_protected,1.0,False,5154.091993837516,0.15,0.65
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-16 04:00:00+00:00,2013-09-19 00:00:00+00:00,0.25,3.0,65,12.962812710083757,strong_or_audusd_protected,1.0,False,5185.125084033502,0.5,0.75
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-09-18 20:00:00+00:00,2013-09-19 00:00:00+00:00,0.15,4.0,66,7.777687626050254,strong_or_audusd_protected,1.0,False,5185.125084033502,0.75,0.9
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-19 00:00:00+00:00,2013-09-20 16:00:00+00:00,0.25,0.0,67,13.331089131438794,strong_or_audusd_protected,1.0,False,5332.435652575517,0.0,0.25
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-19 08:00:00+00:00,2013-09-23 12:00:00+00:00,0.15,0.0,68,7.998653478863276,strong_or_audusd_protected,1.0,False,5332.435652575517,0.25,0.4
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-19 12:00:00+00:00,2013-09-21 00:00:00+00:00,0.15,0.0,69,7.998653478863276,strong_or_audusd_protected,1.0,False,5332.435652575517,0.4,0.55
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-19 16:00:00+00:00,2013-09-20 00:00:00+00:00,0.15,-1.0000000000000075,70,7.998653478863276,strong_or_audusd_protected,1.0,False,5332.435652575517,0.55,0.7000000000000001
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-09-23 04:00:00+00:00,2013-09-24 12:00:00+00:00,0.25,-1.0000000000000058,71,13.311092497741635,strong_or_audusd_protected,1.0,False,5324.436999096654,0.15,0.4
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-10-02 12:00:00+00:00,2013-10-03 20:00:00+00:00,0.15,-0.9999999999999876,72,7.966688859898369,strong_or_audusd_protected,1.0,False,5311.1259065989125,0.0,0.15
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-10-02 16:00:00+00:00,2013-10-04 16:00:00+00:00,0.25,0.0,73,13.277814766497281,strong_or_audusd_protected,1.0,False,5311.1259065989125,0.15,0.4
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-03 04:00:00+00:00,2013-10-07 12:00:00+00:00,0.25,0.004524303801787487,74,13.277814766497281,strong_or_audusd_protected,1.0,False,5311.1259065989125,0.4,0.65
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2013-10-08 00:00:00+00:00,2013-10-08 12:00:00+00:00,0.25,-1.0000000000000133,75,13.258048226517102,warmup,1.0,False,5303.219290606841,0.0,0.25
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-08 08:00:00+00:00,2013-10-08 20:00:00+00:00,0.25,0.0,76,13.258048226517102,strong_or_audusd_protected,1.0,False,5303.219290606841,0.25,0.5
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-09 08:00:00+00:00,2013-10-10 08:00:00+00:00,0.25,0.0,77,13.224903105950808,strong_or_audusd_protected,1.0,False,5289.961242380324,0.0,0.25
