symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-07-06 00:00:00+00:00,2013-07-10 08:00:00+00:00,0.25,-0.9999999999999928
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-07-20 00:00:00+00:00,2013-07-22 04:00:00+00:00,0.15,-0.9999999999999856
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2013-07-31 16:00:00+00:00,2013-08-01 00:00:00+00:00,0.5,-0.9999999999999983
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-08-01 20:00:00+00:00,2013-08-02 16:00:00+00:00,0.15,-1.000000000000012
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2013-08-08 08:00:00+00:00,2013-08-09 04:00:00+00:00,0.25,-1.0000000000000016
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-08-08 20:00:00+00:00,2013-08-09 20:00:00+00:00,0.25,-1.000000000000026
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2013-08-14 16:00:00+00:00,2013-08-15 16:00:00+00:00,0.4,0.0
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2013-08-15 12:00:00+00:00,2013-08-15 16:00:00+00:00,0.4,-0.9999999999999966
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-08-27 04:00:00+00:00,2013-08-29 04:00:00+00:00,0.25,0.39803716212791934
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-09-10 08:00:00+00:00,2013-09-16 04:00:00+00:00,0.15,4.0
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-10 12:00:00+00:00,2013-09-12 12:00:00+00:00,0.15,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-09-10 16:00:00+00:00,2013-09-12 00:00:00+00:00,0.25,-0.9999999999999933
EURUSD,EURUSD_SWING_RETEST,H1_BREAKOUT_RETEST,1,2013-09-12 10:00:00+00:00,2013-09-12 11:00:00+00:00,0.1,-0.9999999999999772
