time,event,equity,balance,peak,drawdown_percent,open_risk_percent,trade_id,engine_group,engine,symbol,risk_percent,admission_reason,pnl
2015-12-31T08:00:00+00:00,EXIT,5642.24908348127,5642.24908348127,5885.002902154629,4.124956651839231,0.0,319.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,28.112850440863326
2015-12-31T20:00:00+00:00,ENTRY,5642.24908348127,5642.24908348127,5885.002902154629,4.124956651839231,0.15,321.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-01-04T12:00:00+00:00,EXIT,5667.639204356936,5667.639204356936,5885.002902154629,3.6935189567725004,0.0,321.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,25.390120875665716
2016-01-04T20:00:00+00:00,ENTRY,5667.639204356936,5667.639204356936,5885.002902154629,3.6935189567725004,0.15,322.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2016-01-05T12:00:00+00:00,ENTRY,5667.639204356936,5667.639204356936,5885.002902154629,3.6935189567725004,0.4,323.0,V12,EURUSD_SWING_CORE,EURUSD,0.25,v12_master_admitted,
2016-01-05T16:00:00+00:00,ENTRY,5667.639204356936,5667.639204356936,5885.002902154629,3.6935189567725004,0.65,324.0,V12,EURUSD_SWING_CORE,EURUSD,0.25,v12_master_admitted,
2016-01-07T00:00:00+00:00,EXIT,5667.639204356936,5667.639204356936,5885.002902154629,3.6935189567725004,0.4,323.0,V12,EURUSD_SWING_CORE,EURUSD,,,-0.0
2016-01-07T00:00:00+00:00,EXIT,5653.470106346043,5653.470106346043,5885.002902154629,3.9342851593805706,0.15,324.0,V12,EURUSD_SWING_CORE,EURUSD,,,-14.169098010892181
2016-01-08T08:00:00+00:00,EXIT,5660.716898178889,5660.716898178889,5885.002902154629,3.8111451719696467,0.0,322.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,7.2467918328461485
2016-01-08T16:00:00+00:00,ENTRY,5660.716898178889,5660.716898178889,5885.002902154629,3.8111451719696467,0.15,325.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2016-01-11T12:00:00+00:00,EXIT,5660.716898178889,5660.716898178889,5885.002902154629,3.8111451719696467,0.0,325.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-0.0
2016-01-12T08:00:00+00:00,ENTRY,5660.716898178889,5660.716898178889,5885.002902154629,3.8111451719696467,0.15,326.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2016-01-12T12:00:00+00:00,ENTRY,5660.716898178889,5660.716898178889,5885.002902154629,3.8111451719696467,0.55,327.0,V12,GBPUSD_V10_PRECISION,GBPUSD,0.4,v12_master_admitted,
2016-01-15T08:00:00+00:00,ENTRY,5660.716898178889,5660.716898178889,5885.002902154629,3.8111451719696467,0.8,328.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2016-01-15T12:00:00+00:00,ENTRY,5660.716898178889,5660.716898178889,5885.002902154629,3.8111451719696467,0.9500000000000001,329.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-01-15T16:00:00+00:00,ENTRY,5660.716898178889,5660.716898178889,5885.002902154629,3.8111451719696467,1.1,330.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-01-15T20:00:00+00:00,EXIT,5694.681199567963,5694.681199567963,5885.002902154629,3.23401204300146,0.9500000000000001,326.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,33.964301389073334
2016-01-15T20:00:00+00:00,EXIT,5762.609802346109,5762.609802346109,5885.002902154629,2.079745785065101,0.55,327.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,67.92860277814667
2016-01-15T20:00:00+00:00,EXIT,5790.913386837004,5790.913386837004,5885.002902154629,1.5988015109249478,0.3,328.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,28.303584490894444
2016-01-18T12:00:00+00:00,EXIT,5790.913386837004,5790.913386837004,5885.002902154629,1.5988015109249478,0.15,330.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-0.0
2016-01-18T20:00:00+00:00,ENTRY,5790.913386837004,5790.913386837004,5885.002902154629,1.5988015109249478,0.3,331.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2016-01-19T12:00:00+00:00,EXIT,5790.913386837004,5790.913386837004,5885.002902154629,1.5988015109249478,0.15,329.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-0.0
2016-01-19T12:00:00+00:00,EXIT,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.0,331.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.68637008025539
