trade_id,engine_group,engine,symbol,setup,side,entry_time,exit_time,risk_percent,risk_dollars,r_multiple,pre_equity,pre_drawdown_percent,pre_open_risk_total,pre_ict_open_risk,admission_reason,pnl,equity_before_exit,equity_after_exit,drawdown_after_exit
2263,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-01-25 16:44:00+00:00,2024-01-25 17:08:00+00:00,0.45,66.7708731852404,1.2,14837.971818942311,1.5937383957717943,0.0,0.0,ict_active,80.12504782228848,14837.971818942311,14918.0968667646,1.0623445831089635
2264,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_15_fade,1,2024-01-26 08:32:00+00:00,2024-01-26 08:56:00+00:00,0.45,67.1314359004407,0.4399999999997089,14918.0968667646,1.0623445831089635,0.0,0.0,ict_active,29.53783179617437,14918.0968667646,14947.634698560774,0.8664480253836451
2265,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-01-26 09:45:00+00:00,2024-01-26 10:09:00+00:00,0.45,67.26435614352349,0.36,14947.634698560774,0.8664480253836451,0.0,0.0,ict_active,24.215168211668455,14947.634698560774,14971.849866772443,0.7058516711847619
2266,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-26 11:44:00+00:00,2024-01-26 12:08:00+00:00,0.45,67.373324400476,-1.0,14971.849866772443,0.7058516711847619,0.0,0.0,ict_active,-67.373324400476,14971.849866772443,14904.476542371967,1.1526753386644313
2267,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-26 15:21:00+00:00,2024-01-26 15:45:00+00:00,0.45,67.07014444067386,1.2,14904.476542371967,1.1526753386644313,0.0,0.0,ict_active,80.48417332880862,14904.476542371967,14984.960715700776,0.6188997854932198
2268,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-29 08:16:00+00:00,2024-01-29 08:40:00+00:00,0.45,67.43232322065349,-0.280000000000291,14984.960715700776,0.6188997854932198,0.0,0.0,ict_active,-18.8810505018026,14984.960715700776,14966.079665198973,0.7441199717636295
2269,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-29 09:17:00+00:00,2024-01-29 09:41:00+00:00,0.45,67.34735849339538,-1.0,14966.079665198973,0.7441199717636295,0.0,0.0,ict_active,-67.34735849339538,14966.079665198973,14898.732306705579,1.1907714318906872
2270,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-01-29 12:23:00+00:00,2024-01-29 12:47:00+00:00,0.45,67.04429538017511,0.36,14898.732306705579,1.1907714318906872,0.0,0.0,ict_active,24.13594633686304,14898.732306705579,14922.868253042441,1.030700481610353
2271,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-01-29 15:04:00+00:00,2024-01-29 15:28:00+00:00,0.45,67.15290713869099,-1.0,14922.868253042441,1.030700481610353,0.0,0.0,ict_active,-67.15290713869099,14922.868253042441,14855.71534590375,1.4760623294431021
2272,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_30_fade,1,2024-01-29 16:13:00+00:00,2024-01-29 16:37:00+00:00,0.45,66.85071905656687,-1.0,14855.71534590375,1.4760623294431021,0.0,0.0,ict_active,-66.85071905656687,14855.71534590375,14788.864626847184,1.9194200489606086
2273,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,-1,2024-01-29 16:26:00+00:00,2024-01-29 17:10:00+00:00,0.45,66.85071905656687,1.25,14855.71534590375,1.4760623294431021,0.45,0.45,ict_active,83.56339882070858,14788.864626847184,14872.428025667892,1.3652228995637286
2274,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_15_fade,1,2024-01-29 17:18:00+00:00,2024-01-29 17:42:00+00:00,0.45,66.92592611550552,1.2,14872.428025667892,1.3652228995637286,0.0,0.0,ict_active,80.31111133860662,14872.428025667892,14952.739137006498,0.8325951032213783
2276,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-01-31 08:51:00+00:00,2024-01-31 09:15:00+00:00,0.45,67.28732611652924,0.800000000000291,14952.739137006498,0.8325951032213783,0.45,0.45,ict_active,53.82986089324298,14952.739137006498,15006.568997899742,0.47559244559284075
2275,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-01-31 08:34:00+00:00,2024-01-31 09:18:00+00:00,0.45,67.28732611652924,-1.0,14952.739137006498,0.8325951032213783,0.0,0.0,ict_active,-67.28732611652924,15006.568997899742,14939.281671783212,0.9218457676283468
2277,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-31 10:48:00+00:00,2024-01-31 11:12:00+00:00,0.45,67.22676752302445,1.2,14939.281671783212,0.9218457676283468,0.0,0.0,ict_active,80.67212102762933,14939.281671783212,15019.953792810842,0.3868237347735352
2278,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-31 14:02:00+00:00,2024-01-31 14:26:00+00:00,0.45,67.58979206764879,1.2,15019.953792810842,0.3868237347735352,0.0,0.0,ict_active,81.10775048117854,15019.953792810842,15101.06154329202,0.0
2279,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-01-31 14:09:00+00:00,2024-01-31 14:53:00+00:00,0.45,67.58979206764879,0.839999999999709,15019.953792810842,0.3868237347735352,0.45,0.45,ict_active,56.77542533680531,15101.06154329202,15157.836968628826,0.0
2280,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-31 15:14:00+00:00,2024-01-31 15:38:00+00:00,0.45,68.21026635882973,-1.0,15157.836968628826,0.0,0.0,0.0,ict_active,-68.21026635882973,15157.836968628826,15089.626702269996,0.4500000000000036
2281,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-31 16:14:00+00:00,2024-01-31 16:38:00+00:00,0.45,67.90332016021497,-1.0,15089.626702269996,0.4500000000000036,0.0,0.0,ict_active,-67.90332016021497,15089.626702269996,15021.723382109782,0.8979749999999984
2282,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-01 09:18:00+00:00,2024-02-01 09:42:00+00:00,0.45,67.59775521949402,0.12,15021.723382109782,0.8979749999999984,0.0,0.0,ict_active,8.111730626339282,15021.723382109782,15029.83511273612,0.8444599065000028
2283,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-01 12:42:00+00:00,2024-02-01 13:06:00+00:00,0.45,67.63425800731255,-1.0,15029.83511273612,0.8444599065000028,0.0,0.0,ict_active,-67.63425800731255,15029.83511273612,14962.200854728808,1.2906598369207518
2284,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-02-01 14:58:00+00:00,2024-02-01 15:42:00+00:00,0.45,67.32990384627963,-1.0,14962.200854728808,1.2906598369207518,0.0,0.0,ict_active,-67.32990384627963,14962.200854728808,14894.870950882529,1.7348518676546056
