engine,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,setup,risk_percent,position_size,risk_dollars,r_multiple,pnl,equity_before,equity_after,peak_before,peak_after,drawdown_before,drawdown_after,guard_reason,guard_multiplier,is_recovery_probe,exit_reason,engine_group
USDJPY_SAFE_HAVEN_BREAKOUT,212,USDJPY,BUY,2014-11-11 12:00:00+00:00,,2014-11-12 00:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.40124385613632,-1.0000000000000058,-14.401243856136404,5746.096298598392,5731.695054742255,5760.497542454528,5760.497542454528,0.2500000000000069,0.5000000000000138,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPJPY_SWING_CORE,213,GBPJPY,BUY,2014-11-12 00:00:00+00:00,,2014-11-12 08:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.15,,8.597542582113382,-1.0000000000000082,-8.597542582113453,5731.695054742255,5723.097512160141,5760.497542454528,5760.497542454528,0.5000000000000138,0.6492500000000144,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_V10_PRECISION,214,GBPUSD,SELL,2014-11-12 16:00:00+00:00,,2014-11-14 04:00:00+00:00,,,,GBPUSD_SWING_V5_PULLBACK_ADDON,0.4,,22.892390048640568,2.5,57.23097512160142,5723.097512160141,5780.328487281743,5760.497542454528,5780.328487281743,0.6492500000000144,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_SWING_RETEST,215,GBPUSD,SELL,2014-11-13 12:00:00+00:00,,2014-11-14 20:00:00+00:00,,,,H4_BREAKOUT_RETEST,0.15,,8.584646268240212,1.4830198140291149,12.731200512231334,5780.328487281743,5793.059687793974,5780.328487281743,5793.059687793974,0.0,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,216,USDJPY,BUY,2014-11-14 12:00:00+00:00,,2014-11-17 04:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.450821218204355,-0.9999999999999928,-14.450821218204254,5764.158045357566,5749.707224139362,5793.059687793974,5793.059687793974,0.4989011678457951,0.7483517517687005,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_V10_PRECISION,217,GBPUSD,SELL,2014-11-14 16:00:00+00:00,,2014-11-14 20:00:00+00:00,,,,PRIMARY_16UTC_BREAKOUT,0.5,,28.901642436408714,-0.9999999999999948,-28.90164243640856,5793.059687793974,5764.158045357566,5793.059687793974,5793.059687793974,0.0,0.4989011678457951,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,218,USDJPY,BUY,2014-11-19 04:00:00+00:00,,2014-11-20 16:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.374268060348404,0.948856568097742,13.639118660659172,5749.707224139362,5763.3463428000205,5793.059687793974,5793.059687793974,0.7483517517687005,0.5129128059315541,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
AUDUSD_TREND_PULLBACK,219,AUDUSD,SELL,2014-11-21 08:00:00+00:00,,2014-11-21 12:00:00+00:00,,,,D1_H4_EMA_PULLBACK_04_08UTC,0.25,,14.408365857000051,-1.0000000000000135,-14.408365857000248,5763.3463428000205,5748.937976943021,5793.059687793974,5793.059687793974,0.5129128059315541,0.7616305239167209,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
AUDUSD_TREND_PULLBACK,220,AUDUSD,SELL,2014-12-02 04:00:00+00:00,,2014-12-02 12:00:00+00:00,,,,D1_H4_EMA_PULLBACK_04_08UTC,0.25,,14.372344942357552,-0.9999999999999946,-14.372344942357474,5748.937976943021,5734.565632000663,5793.059687793974,5793.059687793974,0.7616305239167209,1.0097264476069336,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPJPY_SWING_CORE,221,GBPJPY,BUY,2014-12-02 12:00:00+00:00,,2014-12-05 16:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.15,,8.601848448000995,3.0,25.805545344002983,5706.4594066669015,5732.264952010904,5793.059687793974,5793.059687793974,1.4948970974619906,1.0494408664762234,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
